AIRPORT_ID,CITY_MARKET_ID,Abriv
11241,31241,CZF
11512,31512,EHM
12294,32294,IGG
12315,32315,IKO
12635,32631,KCG
12638,32631,KCL
12641,32631,KCQ
12663,32663,KFP
12671,32671,KGK
12720,32720,KLL
12784,32784,KPV
12841,32841,KVC
13115,33115,LVD
14037,34037,PCA
14119,34119,PIP
14167,34167,PML
15385,35385,TWA
15448,34464,UGS
15853,35853,WSN
11702,31702,FLT
11825,31825,FWL
10961,30961,CGA
11367,31367,DOF
11484,31484,EDA
12252,32252,HYG
12253,32253,HYL
12633,32633,KCC
12773,32773,KPB
12815,32815,KTB
12847,32847,KWF
12983,32983,LIJ
13504,33504,MTM
13693,33693,NKI
14229,34229,PPV
15741,31401,WFB
15754,35754,WHD
15885,35885,WWP
16340,36340,ZXH
10136,30136,ABI
10558,30558,BFF
11140,31140,CRP
12441,32441,JAC
14893,33192,SMF
10279,30279,AMA
10781,30781,BTR
11233,31233,CYS
11973,31973,GPT
12896,32896,LBB
13158,33158,MAF
11230,31230,CYM
11720,31720,FNR
10011,30011,1G4
10511,30511,BCE
10661,30661,BLD
11399,31399,DQS
11627,31627,F70
11869,30463,GCN
12297,32297,IGM
12745,32745,KNB
16428,33572,L41
13536,33536,MVM
14081,34081,PGA
15532,35532,UXR
11624,31624,EYW
11126,31126,CPX
12553,33743,JRV
14819,34819,SIG
15626,35626,VQS
10325,30325,APA
11041,31041,CLD
11376,30977,DPA
12358,32358,IOW
12898,32898,LBE
13865,33865,OLM
13898,32467,OPF
14150,34150,PLN
14212,34212,POU
14792,34792,SGR
14952,34952,SPI
15041,35041,SUN
15447,35447,UGN
15548,35548,VA4
15628,35628,VRB
12263,30928,IAB
14004,34004,PAE
12016,32016,GUM
10666,30666,BLI
11431,31431,DTR
11588,31588,ESD
11646,31646,FBS
11762,31646,FRD
12652,30559,KEH
13002,30559,LKE
13055,33055,LPS
14477,34477,RCE
14222,34222,PPG
10982,30982,CHD
12402,32402,ITO
